District,Active_Cases,Cases_Tested_for_COVID19,Patients_Recovered,People_Under_Quarantine,Total_Deaths
Ahmedabad,139,1601,6649017,381160,33
Amreli,0,833470,12798,80,105
Anand,1,437,825515,15415,0
Aravalli,1,537392,5661,0,81
Banaskantha,1,887,1252792,18169,166
Bharuch,1,729353,17134,0,152
Bhavnagar,1,1543352,28879,118,362
Botad,0,1343488,2308,0,48
Chhota_Udaipur,0,369380,3718,0,38
Dahod,0,982331,11254,0,46
Dang,0,113757,1241,389,18
Devbhoomi_Dwarka,0,343940,5093,20,89
Gandhinagar,1,1129417,34925,4,226
Gir_Somnath,0,512759,9681,4,67
Jamnagar,4,1159731,41310,71,520
Junagadh,0,1370735,22484,0,272
Kutch,0,1086672,18867,7,146
Kheda,1,857957,14641,87,55
Mahisagar,0,525764,8792,0,75
Mehsana,2,1067771,30811,0,194
Morbi,0,526070,10673,0,95
Narmada,0,372970,6625,0,15
Navsari,2,657558,11860,38,41
Panchmahal,0,781382,13466,0,83
Patan,0,705824,16113,0,129
Porbandar,0,357661,4159,5,25
Rajkot,3,2603340,83795,49,798
Sabarkantha,0,729975,11602,30,163
Surat,3,8125153,202907,550,2080
Surendranagar,0,741728,9945,0,139
Tapi,0,371743,5772,46,30
Vadodara,28,2580758,139315,45,921
Valsad,0,835322,12758,14,90
Total,188,41624077,1213331,1590,10941
